Item Name,Avg change in sales when colder,Avg change in sales when warmer
Apple Juice,0.33488372093023255,-0.0642570281124498
"Au Lait, Unknown",0.15384615384615385,0.03233830845771144
Americano,0.14666666666666667,0.045081967213114756
NOLA Carton,0.10772833723653395,-0.3674698795180723
Juice,0.10752688172043011,0.24324324324324326
Still Water,0.1,0.11940298507462686
Espresso,0.07078313253012049,0.025065963060686015
Tea,0.06741573033707865,-0.010810810810810811
S.O. Iced - 4 oz Oji,0.042028985507246375,0.09669811320754718
Chemex Coffee,0.020618556701030927,0.12371134020618557
Drip Coffee,0.01947015639961698,-0.07446808510638298
Latte,0.01425,0.006112909025530385
Cascara Fizz,0.0045045045045045045,-0.14566929133858267
Sparkling Water,0.002793296089385475,0.06097560975609756
Mocha,-0.0032397408207343412,0.10940919037199125
Gibraltar,-0.0072992700729927005,-0.005434782608695652
S.O. Iced Coffee,-0.014175257731958763,0.11432926829268293
"Cappuccino, Unknown",-0.021479713603818614,0.02601156069364162
Hot Chocolate,-0.0625,-0.006289308176100629
New Orleans Iced Coffee (cup),-0.0692197906755471,-0.09094368340943683
Macchiato,-0.244,-0.07579462102689487
Shakerato,-0.2696629213483146,0.16666666666666666
