sale_date,item_name,net_quantity,index_id
04/22/2016,Latte,1,0
09/20/2016,Latte,1,1
12/27/2016,"Cappuccino, Unknown",1,2
10/03/2016,New Orleans Iced Coffee (cup),2,3
09/17/2016,Sparkling Water,1,4
07/07/2016,Chemex Coffee,1,5
03/17/2016,Drip Coffee,2,6
09/09/2016,"Cappuccino, Unknown",1,7
02/23/2016,New Orleans Iced Coffee (cup),1,8
03/27/2016,Apple Juice,1,9
04/22/2016,Drip Coffee,1,10
04/13/2016,NOLA Carton,1,11
04/13/2016,Latte,1,12
06/01/2016,Mocha,1,13
07/05/2016,New Orleans Iced Coffee (cup),1,14
02/16/2016,New Orleans Iced Coffee (cup),1,15
05/02/2016,Latte,1,16
12/20/2016,New Orleans Iced Coffee (cup),2,17
02/15/2016,Latte,1,18
06/07/2016,New Orleans Iced Coffee (cup),1,19
07/18/2016,Mocha,1,20
08/21/2016,New Orleans Iced Coffee (cup),2,21
07/12/2016,Chemex Coffee,1,22
07/19/2016,"Cappuccino, Unknown",1,23
07/01/2016,Chemex Coffee,1,24
12/20/2016,"Cappuccino, Unknown",1,25
08/23/2016,Latte,1,26
05/04/2016,Juice,1,27
02/08/2016,Tea,1,28
09/28/2016,Espresso,1,29
12/27/2016,Latte,1,30
05/21/2016,New Orleans Iced Coffee (cup),1,31
09/18/2016,Apple Juice,1,32
05/07/2016,Drip Coffee,1,33
09/22/2016,"Cappuccino, Unknown",1,34
06/16/2016,New Orleans Iced Coffee (cup),1,35
08/04/2016,"Cappuccino, Unknown",1,36
09/13/2016,"Cappuccino, Unknown",1,37
09/17/2016,Latte,1,38
07/03/2016,New Orleans Iced Coffee (cup),1,39
11/08/2016,New Orleans Iced Coffee (cup),1,40
05/15/2016,"Cappuccino, Unknown",1,41
08/22/2016,Latte,1,42
07/18/2016,Latte,1,43
12/18/2016,Latte,1,44
12/13/2016,Espresso,1,45
04/27/2016,Latte,1,46
05/04/2016,Latte,1,47
08/19/2016,New Orleans Iced Coffee (cup),1,48
03/18/2016,Latte,1,49
10/10/2016,Latte,2,50
09/10/2016,New Orleans Iced Coffee (cup),1,51
04/13/2016,Americano,1,52
12/14/2016,New Orleans Iced Coffee (cup),1,53
06/03/2016,New Orleans Iced Coffee (cup),1,54
06/08/2016,Drip Coffee,1,55
08/17/2016,Latte,1,56
03/14/2016,Espresso,1,57
07/03/2016,"Cappuccino, Unknown",1,58
07/28/2016,Cascara Fizz,1,59
09/19/2016,"Cappuccino, Unknown",1,60
11/05/2016,Sparkling Water,1,61
03/17/2016,Drip Coffee,1,62
12/16/2016,Drip Coffee,1,63
07/06/2016,Mocha,1,64
11/08/2016,Latte,1,65
09/10/2016,Drip Coffee,1,66
03/16/2016,Mocha,1,67
07/19/2016,Drip Coffee,2,68
12/24/2016,Latte,2,69
07/13/2016,New Orleans Iced Coffee (cup),1,70
08/21/2016,Drip Coffee,1,71
08/29/2016,Americano,1,72
02/21/2016,New Orleans Iced Coffee (cup),1,73
11/08/2016,Tea,1,74
02/18/2016,"Cappuccino, Unknown",1,75
10/10/2016,Apple Juice,1,76
04/10/2016,"Cappuccino, Unknown",1,77
12/28/2016,"Cappuccino, Unknown",2,78
05/17/2016,Drip Coffee,1,79
02/17/2016,"Cappuccino, Unknown",2,80
03/20/2016,Latte,1,81
10/17/2016,New Orleans Iced Coffee (cup),1,82
11/02/2016,Drip Coffee,1,83
06/08/2016,NOLA Carton,1,84
06/02/2016,Apple Juice,1,85
03/18/2016,Hot Chocolate,1,86
12/10/2016,"Au Lait, Unknown",1,87
05/27/2016,Mocha,1,88
07/04/2016,New Orleans Iced Coffee (cup),1,89
09/06/2016,Latte,1,90
09/20/2016,NOLA Carton,1,91
10/07/2016,"Cappuccino, Unknown",1,92
10/27/2016,"Cappuccino, Unknown",1,93
03/16/2016,Espresso,1,94
10/05/2016,Americano,2,95
09/20/2016,"Au Lait, Unknown",1,96
06/29/2016,S.O. Iced Coffee,1,97
05/31/2016,"Cappuccino, Unknown",1,98
11/12/2016,"Cappuccino, Unknown",1,99
07/30/2016,"Cappuccino, Unknown",1,100
03/25/2016,Chemex Coffee,1,101
02/16/2016,Americano,1,102
07/06/2016,Espresso,1,103
10/15/2016,Latte,1,104
09/01/2016,S.O. Iced Coffee,2,105
08/20/2016,Drip Coffee,1,106
03/01/2016,Drip Coffee,1,107
09/08/2016,"Cappuccino, Unknown",1,108
09/23/2016,Latte,1,109
03/08/2016,Latte,1,110
10/09/2016,New Orleans Iced Coffee (cup),1,111
05/21/2016,Drip Coffee,1,112
07/14/2016,Espresso,1,113
06/18/2016,Drip Coffee,1,114
03/27/2016,New Orleans Iced Coffee (cup),2,115
12/07/2016,Drip Coffee,1,116
06/22/2016,Espresso,1,117
05/25/2016,Americano,1,118
08/29/2016,"Cappuccino, Unknown",1,119
06/22/2016,Drip Coffee,1,120
10/25/2016,S.O. Iced Coffee,1,121
08/17/2016,S.O. Iced Coffee,1,122
02/25/2016,S.O. Iced Coffee,1,123
05/29/2016,Latte,2,124
02/09/2016,New Orleans Iced Coffee (cup),2,125
04/06/2016,Drip Coffee,1,126
06/15/2016,Drip Coffee,1,127
02/10/2016,Americano,1,128
07/22/2016,"Cappuccino, Unknown",1,129
03/27/2016,Sparkling Water,1,130
12/11/2016,Latte,1,131
11/30/2016,Drip Coffee,1,132
10/06/2016,Drip Coffee,1,133
12/01/2016,Mocha,1,134
12/15/2016,Latte,1,135
03/20/2016,Americano,1,136
09/07/2016,Drip Coffee,1,137
02/18/2016,Americano,1,138
12/14/2016,Sparkling Water,1,139
07/05/2016,New Orleans Iced Coffee (cup),1,140
10/28/2016,Latte,1,141
06/21/2016,S.O. Iced Coffee,1,142
12/12/2016,Drip Coffee,1,143
03/09/2016,Americano,1,144
06/27/2016,New Orleans Iced Coffee (cup),1,145
08/05/2016,Latte,1,146
09/30/2016,New Orleans Iced Coffee (cup),1,147
05/18/2016,Gibraltar,1,148
09/27/2016,Drip Coffee,2,149
10/29/2016,Drip Coffee,1,150
09/21/2016,Americano,1,151
04/17/2016,Drip Coffee,1,152
05/26/2016,Latte,1,153
05/02/2016,Latte,1,154
11/30/2016,Latte,1,155
07/24/2016,Chemex Coffee,1,156
09/01/2016,"Cappuccino, Unknown",1,157
04/15/2016,New Orleans Iced Coffee (cup),1,158
04/18/2016,Drip Coffee,2,159
08/04/2016,Latte,1,160
12/21/2016,New Orleans Iced Coffee (cup),1,161
10/18/2016,New Orleans Iced Coffee (cup),1,162
05/26/2016,Chemex Coffee,1,163
02/17/2016,Latte,1,164
02/27/2016,Latte,1,165
11/21/2016,Latte,1,166
12/01/2016,"Cappuccino, Unknown",1,167
08/30/2016,New Orleans Iced Coffee (cup),1,168
06/30/2016,New Orleans Iced Coffee (cup),1,169
11/04/2016,Cascara Fizz,1,170
12/10/2016,Chemex Coffee,1,171
03/07/2016,Latte,2,172
04/26/2016,Apple Juice,1,173
06/21/2016,Latte,1,174
08/10/2016,Cascara Fizz,1,175
02/21/2016,New Orleans Iced Coffee (cup),1,176
07/06/2016,Latte,1,177
12/14/2016,Tea,1,178
11/15/2016,Latte,1,179
05/25/2016,Latte,2,180
02/21/2016,Sowden Au Lait,1,181
11/17/2016,"Au Lait, Unknown",1,182
08/16/2016,"Cappuccino, Unknown",1,183
