date,avg_sf_temperature,index_id
01/01/2013,44.0,0
01/01/2014,49.0,1
01/01/2015,48.0,2
01/01/2016,41.0,3
01/01/2017,47.0,4
01/02/2013,45.0,5
01/02/2014,53.0,6
01/02/2015,43.0,7
01/02/2016,43.0,8
01/02/2017,47.0,9
01/03/2013,44.0,10
01/03/2014,53.0,11
01/03/2015,44.0,12
01/03/2016,47.0,13
01/03/2017,49.0,14
01/04/2013,43.0,15
01/04/2014,52.0,16
01/04/2015,45.0,17
01/04/2016,49.0,18
01/04/2017,54.0,19
01/05/2013,45.0,20
01/05/2014,54.0,21
01/05/2015,47.0,22
01/05/2016,52.0,23
01/05/2017,46.0,24
01/06/2013,45.0,25
01/06/2014,52.0,26
01/06/2015,50.0,27
01/06/2016,49.0,28
01/06/2017,40.0,29
01/07/2013,47.0,30
01/07/2014,52.0,31
01/07/2015,52.0,32
01/07/2016,48.0,33
01/07/2017,49.0,34
01/08/2013,45.0,35
01/08/2014,53.0,36
01/08/2015,52.0,37
01/08/2016,46.0,38
01/08/2017,61.0,39
01/09/2013,49.0,40
01/09/2014,52.0,41
01/09/2015,53.0,42
01/09/2016,49.0,43
01/09/2017,58.0,44
01/10/2013,48.0,45
01/10/2014,51.0,46
01/10/2015,52.0,47
01/10/2016,50.0,48
01/10/2017,56.0,49
01/11/2013,49.0,50
01/11/2014,50.0,51
01/11/2015,53.0,52
01/11/2016,52.0,53
01/11/2017,56.0,54
01/12/2013,47.0,55
01/12/2014,49.0,56
01/12/2015,51.0,57
01/12/2016,52.0,58
01/12/2017,51.0,59
01/13/2013,44.0,60
01/13/2014,53.0,61
01/13/2015,53.0,62
01/13/2016,57.0,63
01/13/2017,48.0,64
01/14/2013,43.0,65
01/14/2014,56.0,66
01/14/2015,50.0,67
01/14/2016,48.0,68
01/14/2017,48.0,69
01/15/2013,42.0,70
01/15/2014,56.0,71
01/15/2015,50.0,72
01/15/2016,52.0,73
01/15/2017,46.0,74
01/16/2013,41.0,75
01/16/2014,58.0,76
01/16/2015,52.0,77
01/16/2016,53.0,78
01/16/2017,46.0,79
01/17/2013,44.0,80
01/17/2014,64.0,81
01/17/2015,52.0,82
01/17/2016,57.0,83
01/17/2017,46.0,84
01/18/2013,46.0,85
01/18/2014,69.0,86
01/18/2015,54.0,87
01/18/2016,58.0,88
01/18/2017,49.0,89
01/19/2013,48.0,90
01/19/2014,59.0,91
01/19/2015,56.0,92
01/19/2016,58.0,93
01/19/2017,53.0,94
01/20/2013,49.0,95
01/20/2014,54.0,96
01/20/2015,51.0,97
01/20/2016,53.0,98
01/20/2017,53.0,99
01/21/2013,48.0,100
01/21/2014,54.0,101
01/21/2015,50.0,102
01/21/2016,54.0,103
01/21/2017,51.0,104
01/22/2013,49.0,105
01/22/2014,55.0,106
01/22/2015,50.0,107
01/22/2016,57.0,108
01/22/2017,52.0,109
01/23/2013,49.0,110
01/23/2014,55.0,111
01/23/2015,49.0,112
01/23/2016,57.0,113
01/23/2017,48.0,114
01/24/2013,51.0,115
01/24/2014,54.0,116
01/24/2015,54.0,117
01/24/2016,51.0,118
01/24/2017,47.0,119
01/25/2013,52.0,120
01/25/2014,56.0,121
01/25/2015,53.0,122
01/25/2016,52.0,123
01/25/2017,46.0,124
01/26/2013,54.0,125
01/26/2014,56.0,126
01/26/2015,52.0,127
01/26/2016,52.0,128
01/26/2017,47.0,129
01/27/2013,52.0,130
01/27/2014,52.0,131
01/27/2015,54.0,132
01/27/2016,51.0,133
01/27/2017,48.0,134
01/28/2013,48.0,135
01/28/2014,55.0,136
01/28/2015,54.0,137
01/28/2016,50.0,138
01/28/2017,47.0,139
01/29/2013,49.0,140
01/29/2014,59.0,141
01/29/2015,53.0,142
01/29/2016,58.0,143
01/29/2017,48.0,144
01/30/2013,51.0,145
01/30/2014,55.0,146
01/30/2015,53.0,147
01/30/2016,56.0,148
01/30/2017,50.0,149
01/31/2013,51.0,150
01/31/2014,52.0,151
01/31/2015,56.0,152
01/31/2016,51.0,153
01/31/2017,50.0,154
02/01/2013,51.0,155
02/01/2014,48.0,156
02/01/2015,54.0,157
02/01/2016,50.0,158
02/01/2017,51.0,159
02/02/2013,51.0,160
02/02/2014,46.0,161
02/02/2015,54.0,162
02/02/2016,49.0,163
02/02/2017,54.0,164
02/03/2013,52.0,165
02/03/2014,46.0,166
02/03/2015,56.0,167
02/03/2016,46.0,168
02/03/2017,60.0,169
02/04/2013,51.0,170
02/04/2014,45.0,171
02/04/2015,55.0,172
02/04/2016,50.0,173
02/04/2017,58.0,174
02/05/2013,50.0,175
02/05/2014,46.0,176
02/05/2015,55.0,177
02/05/2016,49.0,178
02/05/2017,53.0,179
02/06/2013,50.0,180
02/06/2014,48.0,181
02/06/2015,59.0,182
02/06/2016,50.0,183
02/06/2017,56.0,184
02/07/2013,49.0,185
02/07/2014,51.0,186
02/07/2015,60.0,187
02/07/2016,56.0,188
02/07/2017,59.0,189
02/08/2013,49.0,190
02/08/2014,54.0,191
02/08/2015,59.0,192
02/08/2016,60.0,193
02/08/2017,60.0,194
02/09/2013,48.0,195
02/09/2014,57.0,196
02/09/2015,58.0,197
02/09/2016,58.0,198
02/09/2017,62.0,199
02/10/2013,48.0,200
02/10/2014,56.0,201
02/10/2015,53.0,202
02/10/2016,57.0,203
02/10/2017,59.0,204
02/11/2013,49.0,205
02/11/2014,52.0,206
02/11/2015,53.0,207
02/11/2016,58.0,208
02/11/2017,54.0,209
02/12/2013,52.0,210
02/12/2014,52.0,211
02/12/2015,56.0,212
02/12/2016,57.0,213
02/12/2017,55.0,214
02/13/2013,49.0,215
02/13/2014,55.0,216
02/13/2015,57.0,217
02/13/2016,57.0,218
02/13/2017,51.0,219
02/14/2013,49.0,220
02/14/2014,58.0,221
02/14/2015,57.0,222
02/14/2016,58.0,223
02/14/2017,52.0,224
02/15/2013,51.0,225
02/15/2014,54.0,226
02/15/2015,57.0,227
02/15/2016,63.0,228
02/15/2017,53.0,229
02/16/2013,56.0,230
02/16/2014,57.0,231
02/16/2015,57.0,232
02/16/2016,61.0,233
02/16/2017,56.0,234
02/17/2013,55.0,235
02/17/2014,52.0,236
02/17/2015,54.0,237
02/17/2016,65.0,238
02/17/2017,53.0,239
02/18/2013,53.0,240
02/18/2014,52.0,241
02/18/2015,51.0,242
02/18/2016,55.0,243
02/18/2017,52.0,244
02/19/2013,50.0,245
02/19/2014,58.0,246
02/19/2015,53.0,247
02/19/2016,54.0,248
02/19/2017,50.0,249
02/20/2013,48.0,250
02/20/2014,55.0,251
02/20/2015,54.0,252
02/20/2016,51.0,253
02/20/2017,56.0,254
02/21/2013,45.0,255
02/21/2014,55.0,256
02/21/2015,55.0,257
02/21/2016,51.0,258
02/21/2017,56.0,259
02/22/2013,49.0,260
02/22/2014,56.0,261
02/22/2015,53.0,262
02/22/2016,54.0,263
02/22/2017,51.0,264
02/23/2013,49.0,265
02/23/2014,54.0,266
02/23/2015,55.0,267
02/23/2016,56.0,268
02/23/2017,49.0,269
02/24/2013,52.0,270
02/24/2014,54.0,271
02/24/2015,53.0,272
02/24/2016,55.0,273
